,names,Price,lat,lon,random
2298,Salarpuria Sattva Kings Domain,980.0,12.9918038,77.66070409999998,523
2299,Elegant Pride,670.0,13.0012678,77.6225051,-279
2300,Elegant Pride,592.8,13.0012678,77.6225051,681
2301,URI Shirdi Sri Sai Nagar,881.3,12.9714651,77.540545,-490
2302,URI Shirdi Sri Sai Nagar,720.0,12.9714651,77.540545,178
2303,Candeur Rise,631.5999999999998,12.9969877,77.68995489999998,275
2304,Candeur Rise,900.0,12.9969877,77.68995489999998,329
2305,Aratt Amora,572.8,12.7587473,77.6711502,94
2306,Aratt Amora,794.6999999999998,12.7587473,77.6711502,542
2307,Saranya Sreshta,620.2,12.9671661,77.75705090000002,0
2308,Saranya Sreshta,792.0999999999998,12.9671661,77.75705090000002,526
2309,Chaitrashree Royale,15.0,12.938999699999998,77.5180225,163
2310,Akme Harmony,956.2,12.9224347,77.67112929999998,-216
2311,Akme Harmony,2180.0,12.9224347,77.67112929999998,562
2312,Akme Harmony,2600.0,12.9224347,77.67112929999998,395
2313,Azven Breathe,440.0,12.8313905,77.775604,816
2314,Azven Breathe,481.00000000000006,12.8313905,77.775604,627
2315,DS Max Status,2100.0,13.131781,77.5661959,689
2316,DS Max Status,2290.0,13.131781,77.5661959,-52
2317,Pioneer Park Avenue,800.0,12.875964,77.55190499999998,-178
2318,Pioneer Park Avenue,1300.0,12.875964,77.55190499999998,832
2319,CLPD Suncity Apartments,1000.0,12.9026338,77.70694230000002,-770
2320,CLPD Suncity Apartments,891.7,12.9026338,77.70694230000002,31
2321,CLPD Suncity Apartments,1020.0,12.9026338,77.70694230000002,-985
2322,CLPD Suncity Apartments,1350.0,12.9026338,77.70694230000002,960
2323,Hebron Avenue,483.9,13.0323,77.69942309999998,433
2324,Pavani Sarovar,5430.0,12.9726354,77.73409720000002,550
2325,Sobha Ruby,850.0,13.0446521,77.5000402,640
2326,Sobha Ruby,914.3,13.0446521,77.5000402,-912
2327,Aratt Rolling Whites,573.6999999999998,12.7481938,77.6837066,-102
2328,Aratt Rolling Whites,751.5,12.7481938,77.6837066,-28
2329,Sona Grandeur,580.0,12.8647018,77.59563490000002,712
2330,Unishire The Weave,400.0,13.0569,77.623807,-107
2331,Unishire The Weave,500.0,13.0569,77.623807,-261
2332,LGCL Pueblo,2410.0,12.8666049,77.66721020000001,-153
2333,LGCL One Street,1320.0,13.066807699999998,77.66027940000002,-504
