"Permanent Location Code Number","District / Taluk / Village / Town / Ward","","Total number of House holds","Total Population","Sex            Ratio","Sex Ratio            0-6 age group","Literacy Rates (7+)","Work Participation Rate","Population"
"","","","","","","","","","Scheduled Castes"
"","","Female","","Person","","","Person","Male","Male"
"1","2","17","3","4","7","8","9","12","14"
"","","","","","","","","",""
"42009000","Ward No.91","73","8,490","42,078","1,019","1,007","90.7","51.2","3,549"
"42009000","Ward No.92","65","8,142","39,663","944","935","88.4","54.9","3,717"
"42009000","Ward No.93","49","9,701","51,578","931","922","65.6","52.5","4,619"
"42009000","Ward No.94","73","11,654","60,896","945","977","81.9","54.3","4,045"
"42009000","Ward No.95","197","16,765","84,461","939","974","80.8","54.2","6,701"
"42009000","Ward No.96","578","16,809","74,126","904","933","82.9","57.0","3,637"
"42009000","Ward No.97","103","8,010","38,042","893","917","90.1","54.5","1,287"
"42009000","Ward No.98","182","11,907","52,546","905","901","89.6","55.7","2,114"
"42009000","Ward No.99","128","7,129","32,560","933","960","88.0","58.6","1,981"
"42009000","Ward No.100","327","12,027","52,263","909","915","87.3","55.0","2,269"
"0001","Bangalore North Taluk","9,116","1,92,937","8,30,061","883","946","79.6","60.1","60,306"
"","","3,672","47,526","2,23,031","929","950","71.9","59.6","25,227"
"","","5,444","1,45,411","6,07,030","867","944","82.4","60.3","35,079"
"02029800","Gopalapura","10","194","887","984","944","70.3","58.2","164"
"02029900","Kukkanahalli","0","146","823","955","1,184","68.1","61.0","163"
"02030000","Shamabhattara Palya","0","51","332","1,049","1,125","65.1","53.7","0"
"02030100","Totagere","0","144","836","1,029","1,035","66.9","64.1","151"
"02030200","Bommasettihalli","0","64","301","1,076","727","64.9","62.1","44"
"02030300","Syadamipalya","0","28","149","1,099","2,167","73.1","66.2","27"
"02030400","Bethanagere","0","190","1,028","911","824","71.9","56.1","94"
"02030500","Rampalya","0","40","219","973","889","67.0","63.1","0"
"02030600","Huskur","0","263","1,273","971","924","77.0","60.5","17"
"02030700","Agrahara Palya","0","32","192","901","750","77.0","56.4","0"
"02030800","Hosahalli Palya","0","79","412","953","958","68.8","52.6","1"
"02030900","Govindapura","0","50","259","904","818","70.3","65.4","99"
"02031000","Honnasandra","0","155","750","875","774","66.2","57.8","131"
"02031100","Huchana Palya","0","42","234","983","786","73.7","71.2","8"
"02031200","Pillahalli","2","183","900","919","672","74.6","60.6","72"
"02031300","Nagarur","4","307","1,485","951","1,294","73.2","61.9","170"
"02031400","Kodipalya","0","38","157","1,066","1,545","51.2","67.1","44"
"02031500","Seshagiri Rao Palya","0","1","5","4,000","0","100.0","100.0","0"
"02031600","Mariyanapalya","0","1","1","0","0","100.0","100.0","0"
"02031700","Mathahalli","71","186","901","1,007","915","67.0","62.1","51"
"02031800","Narasipura","6","106","484","1,034","1,125","70.2","62.6","0"
"02031900","Torenagasandra","4","168","822","894","660","80.5","56.9","132"
"02032000","Muniyanapalya","0","24","116","731","700","84.8","59.7","0"
"02032100","Vaderahalli","11","122","567","955","1,625","69.8","62.8","9"
"02032200","Alur","9","289","1,415","915","706","74.3","58.1","178"
"02032300","Kuduragere","6","291","1,369","934","1,057","65.6","60.2","209"
"02032400","Thammenahalli","0","121","614","937","1,138","69.2","59.3","167"
"02032500","Totadaguddadahalli","3","388","1,703","861","945","72.6","60.4","61"
"02032600","Hanumantha Sagara","0","71","287","1,191","900","75.9","70.2","0"
"02032700","Heggadadevanapura","3","316","1,346","928","1,160","79.4","61.2","205"
"02032800","Makali","1","292","1,222","838","789","79.2","60.6","244"
"02032900","Adakamaranahalli","43","387","1,859","759","778","76.2","49.2","246"
"02033000","Dasanapura","13","562","2,430","894","948","73.5","59.9","185"
"02033100","Gejjagadahalli","3","152","726","946","1,300","73.0","63.0","70"
"02033200","Hullegowdanahalli","3","267","1,322","979","1,000","60.1","63.5","88"
"02033300","Byregowdanahalli","0","102","456","854","917","52.7","68.3","68"
"02033400","Venkatapura","0","45","204","872","864","57.1","61.5","19"
"02033500","Lakkenahalli","8","162","767","937","656","65.5","58.8","53"
"02033600","Kenganahalli","0","87","456","983","1,227","82.6","68.3","39"
"02033700","Shivanapura","5","191","905","1,002","738","65.6","60.4","249"
"02033800","Gowdahalli","3","105","490","984","1,115","67.6","61.1","22"
"02033900","Harokyathanahalli","0","261","1,198","948","1,214","68.7","61.5","114"
"02034000","Narayanappana Palya","0","2","8","1,667","0","80.0","66.7","0"
"02034100","Madanaiyakanahalli","18","1,427","5,913","862","927","83.1","63.1","140"
"02034200","Madavara","13","850","3,544","853","948","81.6","65.9","184"
"02034300","Siddanahosahalli","8","375","1,496","968","1,153","81.9","60.5","43"
"02034400","Dombarahalli","0","167","665","991","976","74.6","66.2","34"
"02034500","Gavipalya","","Un-inhabited","","","","","",""
"02034600","Kadaranahalli","0","66","287","888","750","66.2","65.1","38"
"02034700","Avverahalli","0","96","442","905","929","73.0","65.9","40"
"02034800","Hunnigere","9","117","534","921","1,069","64.1","61.5","53"
"02034900","Sondekoppa","109","745","3,687","922","859","76.9","61.7","424"
"02035000","Nagasandra","9","54","264","872","1,100","48.6","63.8","121"
"02035100","Mallasandra","0","145","722","895","1,023","70.1","64.0","112"
"02035200","Gollarapalya","0","8","46","704","600","78.9","55.6","0"
"02035300","Ravuthanahalli","3","157","822","939","813","71.8","56.6","131"
"02035400","Kammasandra","0","105","556","1,029","2,095","71.7","60.2","11"
